ID,date,month,weekday,hour,count,WEATHER_CODE
390,2016-04-07,4,Thursday,Morning,3,Raining
390,2016-04-07,4,Thursday,Night,1,Clear
390,2016-04-08,4,Friday,Afternoon,2,Clear
390,2016-04-08,4,Friday,Evening,1,Clear
390,2016-04-08,4,Friday,Morning,1,Clear
390,2016-04-08,4,Friday,Night,1,Not Applicable
390,2016-04-09,4,Saturday,Morning,1,Raining
390,2016-04-09,4,Saturday,Night,1,Clear
390,2016-04-10,4,Sunday,Afternoon,1,Clear
390,2016-04-10,4,Sunday,Evening,1,Clear
390,2016-04-10,4,Sunday,Morning,1,Clear
390,2016-04-10,4,Sunday,Night,2,Clear
390,2016-04-11,4,Monday,Evening,2,Clear
390,2016-04-11,4,Monday,Morning,5,Cloudy
390,2016-04-12,4,Tuesday,Evening,1,Clear
390,2016-04-12,4,Tuesday,Night,2,Clear
390,2016-04-13,4,Wednesday,Evening,1,Clear
390,2016-04-13,4,Wednesday,Morning,1,Clear
390,2016-04-14,4,Thursday,Afternoon,1,Clear
390,2016-04-14,4,Thursday,Evening,1,Clear
390,2016-04-14,4,Thursday,Morning,2,Clear
390,2016-04-14,4,Thursday,Night,1,Clear
390,2016-04-15,4,Friday,Evening,3,Clear
390,2016-04-15,4,Friday,Night,1,Clear
390,2016-04-16,4,Saturday,Afternoon,1,Not Applicable
390,2016-04-16,4,Saturday,Morning,1,Not Applicable
390,2016-04-17,4,Sunday,Evening,1,Clear
390,2016-04-17,4,Sunday,Night,1,Clear
390,2016-04-18,4,Monday,Afternoon,2,Clear
390,2016-04-18,4,Monday,Morning,2,Clear
390,2016-04-19,4,Tuesday,Afternoon,2,Cloudy
390,2016-04-19,4,Tuesday,Evening,1,Clear
390,2016-04-19,4,Tuesday,Morning,1,Clear
390,2016-04-20,4,Wednesday,Afternoon,1,Clear
390,2016-04-20,4,Wednesday,Evening,1,Clear
390,2016-04-20,4,Wednesday,Morning,4,Clear
390,2016-04-21,4,Thursday,Afternoon,2,Clear
390,2016-04-21,4,Thursday,Evening,1,Clear
390,2016-04-21,4,Thursday,Morning,1,Clear
390,2016-04-22,4,Friday,Evening,1,Not Applicable
390,2016-04-22,4,Friday,Morning,2,Clear
390,2016-04-22,4,Friday,Night,2,Clear
390,2016-04-23,4,Saturday,Evening,1,Clear
390,2016-04-23,4,Saturday,Night,1,Clear
390,2016-04-24,4,Sunday,Afternoon,1,Clear
390,2016-04-24,4,Sunday,Evening,2,Clear
390,2016-04-24,4,Sunday,Night,1,Clear
390,2016-04-25,4,Monday,Afternoon,3,Clear
390,2016-04-25,4,Monday,Evening,1,Clear
390,2016-04-25,4,Monday,Morning,1,Clear
390,2016-04-25,4,Monday,Night,2,Clear
390,2016-04-26,4,Tuesday,Afternoon,1,Clear
390,2016-04-26,4,Tuesday,Evening,1,Clear
390,2016-04-26,4,Tuesday,Morning,1,Clear
390,2016-04-27,4,Wednesday,Morning,1,Raining
390,2016-04-28,4,Thursday,Afternoon,2,Raining
390,2016-04-28,4,Thursday,Evening,1,Cloudy
390,2016-04-28,4,Thursday,Night,1,Other
390,2016-04-29,4,Friday,Morning,2,Cloudy
390,2016-04-29,4,Friday,Night,1,Cloudy
390,2016-04-30,4,Saturday,Afternoon,3,Clear
390,2016-04-30,4,Saturday,Evening,1,Clear
390,2016-04-30,4,Saturday,Night,2,Raining
390,2016-05-01,5,Sunday,Afternoon,1,Raining
390,2016-05-02,5,Monday,Evening,2,Clear
390,2016-05-02,5,Monday,Night,1,Clear
390,2016-05-03,5,Tuesday,Afternoon,3,Clear
390,2016-05-03,5,Tuesday,Evening,2,Clear
390,2016-05-03,5,Tuesday,Night,1,Foggy
390,2016-05-04,5,Wednesday,Afternoon,1,Cloudy
390,2016-05-04,5,Wednesday,Evening,1,Raining
390,2016-05-04,5,Wednesday,Morning,1,Clear
390,2016-05-05,5,Thursday,Evening,1,Clear
390,2016-05-05,5,Thursday,Morning,1,Cloudy
390,2016-05-06,5,Friday,Afternoon,2,Raining
390,2016-05-06,5,Friday,Evening,3,Raining
390,2016-05-06,5,Friday,Morning,1,Raining
390,2016-05-07,5,Saturday,Afternoon,3,Clear
390,2016-05-07,5,Saturday,Evening,4,Clear
390,2016-05-07,5,Saturday,Morning,1,Cloudy
390,2016-05-08,5,Sunday,Afternoon,2,Clear
390,2016-05-08,5,Sunday,Evening,4,Clear
390,2016-05-08,5,Sunday,Night,2,Clear
390,2016-05-09,5,Monday,Morning,1,Raining
390,2016-05-10,5,Tuesday,Afternoon,1,Clear
390,2016-05-10,5,Tuesday,Morning,3,Raining
390,2016-05-11,5,Wednesday,Afternoon,1,Raining
390,2016-05-11,5,Wednesday,Evening,4,Raining
390,2016-05-12,5,Thursday,Afternoon,3,Cloudy
390,2016-05-12,5,Thursday,Evening,1,Cloudy
390,2016-05-13,5,Friday,Evening,2,Clear
390,2016-05-13,5,Friday,Morning,2,Raining
390,2016-05-14,5,Saturday,Afternoon,3,Cloudy
390,2016-05-14,5,Saturday,Evening,1,Clear
390,2016-05-14,5,Saturday,Morning,2,Clear
390,2016-05-14,5,Saturday,Night,1,Clear
390,2016-05-15,5,Sunday,Afternoon,2,Clear
390,2016-05-16,5,Monday,Evening,2,Clear
390,2016-05-16,5,Monday,Night,2,Clear
390,2016-05-17,5,Tuesday,Evening,3,Raining
390,2016-05-17,5,Tuesday,Night,1,Clear
390,2016-05-18,5,Wednesday,Afternoon,1,Clear
390,2016-05-18,5,Wednesday,Morning,2,Clear
390,2016-05-18,5,Wednesday,Night,1,Clear
390,2016-05-19,5,Thursday,Morning,1,Not Applicable
390,2016-05-20,5,Friday,Afternoon,1,Clear
390,2016-05-20,5,Friday,Evening,1,Not Applicable
390,2016-05-20,5,Friday,Morning,3,Clear
390,2016-05-20,5,Friday,Night,1,Cloudy
390,2016-05-21,5,Saturday,Night,1,Clear
390,2016-05-22,5,Sunday,Evening,2,Raining
390,2016-05-23,5,Monday,Evening,1,Raining
390,2016-05-23,5,Monday,Morning,2,Cloudy
390,2016-05-24,5,Tuesday,Evening,7,Clear
390,2016-05-24,5,Tuesday,Morning,2,Clear
390,2016-05-24,5,Tuesday,Night,1,Not Applicable
390,2016-05-25,5,Wednesday,Afternoon,1,Clear
390,2016-05-25,5,Wednesday,Evening,1,Clear
390,2016-05-25,5,Wednesday,Morning,1,Not Applicable
390,2016-05-25,5,Wednesday,Night,1,Clear
390,2016-05-26,5,Thursday,Afternoon,3,Clear
390,2016-05-26,5,Thursday,Night,1,Clear
390,2016-05-27,5,Friday,Afternoon,3,Clear
390,2016-05-27,5,Friday,Evening,2,Clear
390,2016-05-28,5,Saturday,Evening,3,Clear
390,2016-05-29,5,Sunday,Afternoon,2,Clear
390,2016-05-29,5,Sunday,Evening,3,Raining
390,2016-05-29,5,Sunday,Morning,1,Clear
390,2016-05-30,5,Monday,Afternoon,1,Clear
390,2016-05-30,5,Monday,Evening,2,Clear
390,2016-05-30,5,Monday,Night,1,Clear
390,2016-05-31,5,Tuesday,Afternoon,1,Clear
390,2016-05-31,5,Tuesday,Evening,1,Clear
390,2016-05-31,5,Tuesday,Morning,2,Clear
390,2016-05-31,5,Tuesday,Night,1,Clear
390,2016-06-01,6,Wednesday,Night,1,Clear
390,2016-06-02,6,Thursday,Evening,2,Clear
390,2016-06-02,6,Thursday,Morning,1,Cloudy
390,2016-06-02,6,Thursday,Night,1,Cloudy
390,2016-06-03,6,Friday,Afternoon,2,Clear
390,2016-06-03,6,Friday,Evening,1,Cloudy
390,2016-06-03,6,Friday,Morning,1,Raining
390,2016-06-04,6,Saturday,Afternoon,2,Cloudy
390,2016-06-04,6,Saturday,Evening,2,Clear
390,2016-06-04,6,Saturday,Morning,2,Clear
390,2016-06-05,6,Sunday,Afternoon,3,Clear
390,2016-06-05,6,Sunday,Evening,3,Raining
390,2016-06-05,6,Sunday,Morning,2,Cloudy
390,2016-06-05,6,Sunday,Night,1,Not Applicable
390,2016-06-06,6,Monday,Afternoon,1,Clear
390,2016-06-07,6,Tuesday,Afternoon,1,Clear
390,2016-06-07,6,Tuesday,Evening,1,Clear
390,2016-06-07,6,Tuesday,Morning,2,Clear
390,2016-06-08,6,Wednesday,Afternoon,1,Cloudy
390,2016-06-08,6,Wednesday,Evening,1,Clear
390,2016-06-08,6,Wednesday,Morning,3,Clear
390,2016-06-08,6,Wednesday,Night,2,Clear
390,2016-06-09,6,Thursday,Afternoon,1,Clear
390,2016-06-09,6,Thursday,Evening,1,Clear
390,2016-06-09,6,Thursday,Morning,1,Clear
390,2016-06-10,6,Friday,Afternoon,1,Clear
390,2016-06-10,6,Friday,Evening,1,Clear
390,2016-06-10,6,Friday,Morning,1,Clear
390,2016-06-11,6,Saturday,Evening,2,Clear
390,2016-06-11,6,Saturday,Morning,1,Clear
390,2016-06-11,6,Saturday,Night,1,Clear
390,2016-06-12,6,Sunday,Afternoon,2,Clear
390,2016-06-12,6,Sunday,Morning,1,Clear
390,2016-06-12,6,Sunday,Night,1,Clear
390,2016-06-13,6,Monday,Afternoon,3,Clear
390,2016-06-13,6,Monday,Evening,1,Clear
390,2016-06-14,6,Tuesday,Afternoon,2,Clear
390,2016-06-14,6,Tuesday,Evening,2,Clear
390,2016-06-14,6,Tuesday,Morning,1,Not Applicable
390,2016-06-14,6,Tuesday,Night,1,Clear
390,2016-06-15,6,Wednesday,Afternoon,1,Cloudy
390,2016-06-15,6,Wednesday,Night,1,Not Applicable
390,2016-06-16,6,Thursday,Evening,3,Clear
390,2016-06-16,6,Thursday,Morning,4,Cloudy
390,2016-06-16,6,Thursday,Night,1,Raining
390,2016-06-17,6,Friday,Afternoon,1,Clear
390,2016-06-17,6,Friday,Evening,3,Clear
390,2016-06-17,6,Friday,Night,3,Not Applicable
390,2016-06-18,6,Saturday,Afternoon,1,Clear
390,2016-06-18,6,Saturday,Morning,1,Clear
390,2016-06-19,6,Sunday,Afternoon,2,Clear
390,2016-06-20,6,Monday,Afternoon,1,Clear
390,2016-06-21,6,Tuesday,Afternoon,1,Raining
390,2016-06-21,6,Tuesday,Morning,1,Clear
390,2016-06-22,6,Wednesday,Afternoon,2,Clear
390,2016-06-22,6,Wednesday,Morning,2,Clear
390,2016-06-22,6,Wednesday,Night,1,Clear
390,2016-06-23,6,Thursday,Afternoon,2,Clear
390,2016-06-24,6,Friday,Evening,2,Clear
390,2016-06-25,6,Saturday,Evening,1,Clear
390,2016-06-26,6,Sunday,Afternoon,5,Clear
390,2016-06-26,6,Sunday,Night,2,Clear
390,2016-06-27,6,Monday,Afternoon,2,Clear
390,2016-06-27,6,Monday,Evening,1,Clear
390,2016-06-28,6,Tuesday,Afternoon,3,Cloudy
390,2016-06-28,6,Tuesday,Evening,2,Clear
390,2016-06-28,6,Tuesday,Morning,2,Clear
390,2016-06-29,6,Wednesday,Afternoon,2,Clear
390,2016-06-29,6,Wednesday,Evening,1,Clear
390,2016-06-30,6,Thursday,Evening,1,Clear
390,2016-06-30,6,Thursday,Night,1,Clear
390,2016-07-01,7,Friday,Evening,5,Clear
390,2016-07-01,7,Friday,Morning,1,Clear
390,2016-07-02,7,Saturday,Afternoon,1,Clear
390,2016-07-02,7,Saturday,Evening,2,Clear
390,2016-07-02,7,Saturday,Night,2,Clear
390,2016-07-03,7,Sunday,Evening,2,Cloudy
390,2016-07-03,7,Sunday,Morning,1,Cloudy
390,2016-07-03,7,Sunday,Night,1,Clear
390,2016-07-04,7,Monday,Afternoon,1,Raining
390,2016-07-04,7,Monday,Evening,1,Raining
390,2016-07-05,7,Tuesday,Evening,1,Not Applicable
390,2016-07-05,7,Tuesday,Morning,1,Clear
390,2016-07-06,7,Wednesday,Afternoon,2,Clear
390,2016-07-06,7,Wednesday,Evening,1,Clear
390,2016-07-06,7,Wednesday,Morning,1,Clear
390,2016-07-06,7,Wednesday,Night,2,Clear
390,2016-07-07,7,Thursday,Afternoon,2,Clear
390,2016-07-07,7,Thursday,Evening,3,Clear
390,2016-07-07,7,Thursday,Morning,1,Clear
390,2016-07-07,7,Thursday,Night,1,Clear
390,2016-07-08,7,Friday,Afternoon,3,Clear
390,2016-07-08,7,Friday,Evening,2,Clear
390,2016-07-08,7,Friday,Morning,1,Clear
390,2016-07-08,7,Friday,Night,1,Clear
390,2016-07-09,7,Saturday,Evening,1,Clear
390,2016-07-09,7,Saturday,Morning,1,Clear
390,2016-07-09,7,Saturday,Night,1,Unknown
390,2016-07-10,7,Sunday,Afternoon,1,Not Applicable
390,2016-07-10,7,Sunday,Morning,2,Clear
390,2016-07-11,7,Monday,Afternoon,2,Clear
390,2016-07-11,7,Monday,Evening,5,Clear
390,2016-07-11,7,Monday,Morning,1,Clear
390,2016-07-11,7,Monday,Night,1,Clear
390,2016-07-12,7,Tuesday,Evening,1,Cloudy
390,2016-07-12,7,Tuesday,Night,1,Clear
390,2016-07-13,7,Wednesday,Evening,4,Clear
390,2016-07-13,7,Wednesday,Night,1,Clear
390,2016-07-14,7,Thursday,Afternoon,3,Clear
390,2016-07-14,7,Thursday,Evening,1,Clear
390,2016-07-14,7,Thursday,Morning,1,Clear
390,2016-07-15,7,Friday,Afternoon,2,Clear
390,2016-07-15,7,Friday,Evening,2,Clear
390,2016-07-15,7,Friday,Night,1,Clear
390,2016-07-16,7,Saturday,Evening,2,Clear
390,2016-07-16,7,Saturday,Morning,3,Clear
390,2016-07-16,7,Saturday,Night,2,Clear
390,2016-07-17,7,Sunday,Afternoon,2,Clear
390,2016-07-17,7,Sunday,Night,2,Clear
390,2016-07-18,7,Monday,Afternoon,1,Clear
390,2016-07-18,7,Monday,Morning,1,Clear
390,2016-07-19,7,Tuesday,Afternoon,1,Clear
390,2016-07-19,7,Tuesday,Morning,2,Clear
390,2016-07-19,7,Tuesday,Night,2,Clear
390,2016-07-20,7,Wednesday,Night,2,Cloudy
390,2016-07-21,7,Thursday,Afternoon,3,Clear
390,2016-07-21,7,Thursday,Evening,2,Clear
390,2016-07-22,7,Friday,Evening,1,Clear
390,2016-07-23,7,Saturday,Evening,1,Clear
390,2016-07-23,7,Saturday,Night,1,Clear
390,2016-07-24,7,Sunday,Afternoon,2,Clear
390,2016-07-24,7,Sunday,Evening,1,Clear
390,2016-07-25,7,Monday,Afternoon,1,Clear
390,2016-07-25,7,Monday,Evening,4,Clear
390,2016-07-26,7,Tuesday,Evening,3,Clear
390,2016-07-26,7,Tuesday,Morning,2,Clear
390,2016-07-26,7,Tuesday,Night,1,Clear
390,2016-07-27,7,Wednesday,Evening,1,Clear
390,2016-07-27,7,Wednesday,Morning,1,Clear
390,2016-07-27,7,Wednesday,Night,1,Clear
390,2016-07-28,7,Thursday,Afternoon,4,Cloudy
390,2016-07-28,7,Thursday,Evening,2,Raining
390,2016-07-29,7,Friday,Morning,1,Clear
390,2016-07-30,7,Saturday,Afternoon,2,Clear
390,2016-07-30,7,Saturday,Evening,2,Clear
390,2016-07-30,7,Saturday,Night,1,Clear
390,2016-07-31,7,Sunday,Afternoon,2,Clear
390,2016-07-31,7,Sunday,Evening,2,Clear
390,2016-07-31,7,Sunday,Morning,1,Clear
390,2016-07-31,7,Sunday,Night,1,Cloudy
390,2016-08-01,8,Monday,Evening,2,Clear
390,2016-08-01,8,Monday,Morning,2,Clear
390,2016-08-01,8,Monday,Night,1,Clear
390,2016-08-02,8,Tuesday,Afternoon,1,Clear
390,2016-08-02,8,Tuesday,Morning,2,Clear
390,2016-08-03,8,Wednesday,Afternoon,1,Clear
390,2016-08-03,8,Wednesday,Evening,4,Clear
390,2016-08-03,8,Wednesday,Morning,1,Clear
390,2016-08-04,8,Thursday,Afternoon,2,Cloudy
390,2016-08-04,8,Thursday,Evening,2,Clear
390,2016-08-04,8,Thursday,Morning,1,Clear
390,2016-08-04,8,Thursday,Night,1,Clear
390,2016-08-05,8,Friday,Afternoon,2,Cloudy
390,2016-08-05,8,Friday,Evening,1,Clear
390,2016-08-06,8,Saturday,Evening,1,Raining
390,2016-08-06,8,Saturday,Night,1,Clear
390,2016-08-07,8,Sunday,Evening,1,Clear
390,2016-08-07,8,Sunday,Morning,2,Clear
390,2016-08-07,8,Sunday,Night,2,Clear
390,2016-08-08,8,Monday,Afternoon,2,Clear
390,2016-08-08,8,Monday,Morning,2,Clear
390,2016-08-10,8,Wednesday,Afternoon,3,Clear
390,2016-08-10,8,Wednesday,Evening,2,Clear
390,2016-08-10,8,Wednesday,Morning,1,Clear
390,2016-08-11,8,Thursday,Afternoon,2,Clear
390,2016-08-11,8,Thursday,Evening,2,Clear
390,2016-08-12,8,Friday,Afternoon,2,Clear
390,2016-08-13,8,Saturday,Afternoon,2,Clear
390,2016-08-13,8,Saturday,Morning,2,Clear
390,2016-08-15,8,Monday,Evening,2,Clear
390,2016-08-15,8,Monday,Night,1,Clear
390,2016-08-16,8,Tuesday,Morning,1,Not Applicable
390,2016-08-17,8,Wednesday,Evening,2,Clear
390,2016-08-17,8,Wednesday,Night,3,Raining
390,2016-08-18,8,Thursday,Afternoon,1,Clear
390,2016-08-18,8,Thursday,Evening,1,Not Applicable
390,2016-08-18,8,Thursday,Morning,3,Clear
390,2016-08-18,8,Thursday,Night,1,Clear
390,2016-08-19,8,Friday,Morning,1,Clear
390,2016-08-19,8,Friday,Night,1,Clear
390,2016-08-20,8,Saturday,Evening,1,Clear
390,2016-08-21,8,Sunday,Afternoon,3,Raining
390,2016-08-21,8,Sunday,Evening,1,Cloudy
390,2016-08-22,8,Monday,Evening,1,Clear
390,2016-08-22,8,Monday,Night,1,Clear
390,2016-08-23,8,Tuesday,Afternoon,1,Clear
390,2016-08-23,8,Tuesday,Morning,1,Not Applicable
390,2016-08-24,8,Wednesday,Afternoon,3,Clear
390,2016-08-24,8,Wednesday,Evening,1,Clear
390,2016-08-24,8,Wednesday,Morning,1,Clear
390,2016-08-25,8,Thursday,Afternoon,3,Clear
390,2016-08-25,8,Thursday,Evening,4,Clear
390,2016-08-26,8,Friday,Afternoon,1,Clear
390,2016-08-26,8,Friday,Evening,3,Clear
390,2016-08-26,8,Friday,Morning,1,Clear
390,2016-08-27,8,Saturday,Evening,1,Clear
390,2016-08-28,8,Sunday,Evening,2,Clear
390,2016-08-28,8,Sunday,Night,2,Clear
390,2016-08-29,8,Monday,Afternoon,1,Clear
390,2016-08-29,8,Monday,Evening,1,Clear
390,2016-08-30,8,Tuesday,Afternoon,2,Clear
390,2016-08-30,8,Tuesday,Evening,2,Clear
390,2016-08-30,8,Tuesday,Morning,1,Clear
390,2016-08-31,8,Wednesday,Afternoon,1,Clear
390,2016-08-31,8,Wednesday,Evening,1,Clear
390,2016-08-31,8,Wednesday,Morning,4,Clear
390,2016-09-01,9,Thursday,Afternoon,2,Cloudy
390,2016-09-01,9,Thursday,Evening,2,Clear
390,2016-09-01,9,Thursday,Morning,2,Raining
390,2016-09-02,9,Friday,Afternoon,2,Clear
390,2016-09-02,9,Friday,Morning,3,Clear
390,2016-09-02,9,Friday,Night,2,Clear
390,2016-09-03,9,Saturday,Afternoon,4,Clear
390,2016-09-04,9,Sunday,Evening,1,Clear
390,2016-09-05,9,Monday,Afternoon,1,Clear
390,2016-09-05,9,Monday,Morning,2,Clear
390,2016-09-06,9,Tuesday,Evening,1,Clear
390,2016-09-06,9,Tuesday,Night,1,Clear
390,2016-09-07,9,Wednesday,Evening,1,Raining
390,2016-09-07,9,Wednesday,Morning,2,Clear
390,2016-09-08,9,Thursday,Afternoon,2,Clear
390,2016-09-08,9,Thursday,Evening,1,Clear
390,2016-09-08,9,Thursday,Night,2,Clear
390,2016-09-09,9,Friday,Evening,2,Clear
390,2016-09-09,9,Friday,Night,1,Clear
390,2016-09-10,9,Saturday,Afternoon,3,Clear
390,2016-09-10,9,Saturday,Evening,1,Clear
390,2016-09-10,9,Saturday,Morning,1,Not Applicable
390,2016-09-11,9,Sunday,Morning,1,Clear
390,2016-09-12,9,Monday,Afternoon,1,Clear
390,2016-09-13,9,Tuesday,Afternoon,2,Clear
390,2016-09-13,9,Tuesday,Morning,2,Clear
390,2016-09-14,9,Wednesday,Evening,1,Not Applicable
390,2016-09-15,9,Thursday,Evening,1,Clear
390,2016-09-15,9,Thursday,Morning,1,Clear
390,2016-09-16,9,Friday,Afternoon,1,Not Applicable
390,2016-09-16,9,Friday,Evening,2,Clear
390,2016-09-16,9,Friday,Morning,1,Clear
390,2016-09-17,9,Saturday,Afternoon,2,Clear
390,2016-09-17,9,Saturday,Night,3,Clear
390,2016-09-18,9,Sunday,Afternoon,2,Clear
390,2016-09-18,9,Sunday,Evening,1,Clear
390,2016-09-18,9,Sunday,Night,2,Clear
390,2016-09-19,9,Monday,Afternoon,1,Raining
390,2016-09-19,9,Monday,Morning,1,Raining
390,2016-09-20,9,Tuesday,Afternoon,1,Not Applicable
390,2016-09-20,9,Tuesday,Evening,2,Clear
390,2016-09-21,9,Wednesday,Afternoon,1,Clear
390,2016-09-21,9,Wednesday,Evening,1,Clear
390,2016-09-21,9,Wednesday,Morning,1,Cloudy
390,2016-09-22,9,Thursday,Evening,3,Clear
390,2016-09-22,9,Thursday,Morning,2,Clear
390,2016-09-23,9,Friday,Afternoon,2,Clear
390,2016-09-23,9,Friday,Evening,4,Clear
390,2016-09-23,9,Friday,Morning,1,Clear
390,2016-09-24,9,Saturday,Afternoon,1,Clear
390,2016-09-25,9,Sunday,Afternoon,3,Clear
390,2016-09-25,9,Sunday,Evening,2,Clear
390,2016-09-25,9,Sunday,Morning,1,Clear
390,2016-09-25,9,Sunday,Night,1,Clear
390,2016-09-26,9,Monday,Afternoon,1,Cloudy
390,2016-09-26,9,Monday,Evening,1,Clear
390,2016-09-27,9,Tuesday,Evening,2,Clear
390,2016-09-27,9,Tuesday,Morning,3,Clear
390,2016-09-28,9,Wednesday,Afternoon,2,Raining
390,2016-09-28,9,Wednesday,Evening,2,Raining
390,2016-09-28,9,Wednesday,Morning,2,Cloudy
390,2016-09-29,9,Thursday,Afternoon,1,Raining
390,2016-09-29,9,Thursday,Evening,2,Raining
390,2016-09-29,9,Thursday,Morning,3,Raining
390,2016-09-29,9,Thursday,Night,1,Raining
390,2016-09-30,9,Friday,Afternoon,1,Not Applicable
390,2016-09-30,9,Friday,Evening,1,Raining
390,2016-09-30,9,Friday,Morning,3,Other
390,2016-09-30,9,Friday,Night,2,Raining
391,2016-01-02,1,Saturday,Afternoon,1,Clear
391,2016-01-03,1,Sunday,Afternoon,2,Clear
391,2016-01-04,1,Monday,Afternoon,1,Not Applicable
391,2016-01-04,1,Monday,Morning,1,Cloudy
391,2016-01-04,1,Monday,Night,1,Clear
391,2016-01-05,1,Tuesday,Night,2,Clear
391,2016-01-06,1,Wednesday,Afternoon,1,Not Applicable
391,2016-01-06,1,Wednesday,Evening,1,Clear
391,2016-01-07,1,Thursday,Morning,2,Clear
391,2016-01-08,1,Friday,Evening,2,Raining
391,2016-01-09,1,Saturday,Afternoon,3,Cloudy
391,2016-01-09,1,Saturday,Evening,1,Raining
391,2016-01-09,1,Saturday,Morning,2,Cloudy
391,2016-01-10,1,Sunday,Evening,4,Clear
391,2016-01-10,1,Sunday,Morning,1,Clear
391,2016-01-10,1,Sunday,Night,1,Raining
391,2016-01-11,1,Monday,Afternoon,1,Clear
391,2016-01-11,1,Monday,Morning,3,Clear
391,2016-01-12,1,Tuesday,Afternoon,2,Clear
391,2016-01-12,1,Tuesday,Morning,2,Not Applicable
391,2016-01-14,1,Thursday,Evening,2,Clear
391,2016-01-14,1,Thursday,Morning,2,Clear
391,2016-01-15,1,Friday,Evening,2,Clear
391,2016-01-15,1,Friday,Night,1,Raining
391,2016-01-16,1,Saturday,Afternoon,1,Cloudy
391,2016-01-17,1,Sunday,Afternoon,2,Not Applicable
391,2016-01-17,1,Sunday,Evening,2,Raining
391,2016-01-17,1,Sunday,Night,2,Clear
391,2016-01-18,1,Monday,Afternoon,1,Clear
391,2016-01-18,1,Monday,Evening,1,Clear
391,2016-01-18,1,Monday,Morning,1,Clear
391,2016-01-18,1,Monday,Night,1,Clear
391,2016-01-20,1,Wednesday,Afternoon,1,Clear
391,2016-01-20,1,Wednesday,Evening,4,Snow
391,2016-01-20,1,Wednesday,Morning,1,Clear
391,2016-01-20,1,Wednesday,Night,2,Snow
391,2016-01-21,1,Thursday,Evening,2,Clear
391,2016-01-21,1,Thursday,Morning,1,Clear
391,2016-01-24,1,Sunday,Afternoon,1,Not Applicable
391,2016-01-26,1,Tuesday,Night,2,Cloudy
391,2016-01-27,1,Wednesday,Afternoon,1,Clear
391,2016-01-27,1,Wednesday,Evening,3,Clear
391,2016-01-28,1,Thursday,Evening,1,Clear
391,2016-01-29,1,Friday,Afternoon,2,Cloudy
391,2016-01-29,1,Friday,Evening,2,Clear
391,2016-01-29,1,Friday,Morning,1,Clear
391,2016-01-30,1,Saturday,Afternoon,1,Clear
391,2016-01-30,1,Saturday,Evening,1,Clear
391,2016-01-31,1,Sunday,Evening,1,Clear
391,2016-01-31,1,Sunday,Night,2,Cloudy
391,2016-02-01,2,Monday,Afternoon,3,Cloudy
391,2016-02-01,2,Monday,Morning,1,Clear
391,2016-02-01,2,Monday,Night,1,Clear
391,2016-02-02,2,Tuesday,Evening,1,Clear
391,2016-02-02,2,Tuesday,Morning,2,Clear
391,2016-02-02,2,Tuesday,Night,1,Clear
391,2016-02-03,2,Wednesday,Evening,1,Foggy
391,2016-02-03,2,Wednesday,Night,1,Clear
391,2016-02-04,2,Thursday,Afternoon,2,Clear
391,2016-02-04,2,Thursday,Morning,1,Not Applicable
391,2016-02-05,2,Friday,Afternoon,1,Clear
391,2016-02-06,2,Saturday,Evening,1,Not Applicable
391,2016-02-07,2,Sunday,Evening,1,Clear
391,2016-02-08,2,Monday,Morning,1,Clear
391,2016-02-09,2,Tuesday,Afternoon,2,Clear
391,2016-02-10,2,Wednesday,Night,1,Clear
391,2016-02-11,2,Thursday,Evening,1,Clear
391,2016-02-11,2,Thursday,Night,1,Clear
391,2016-02-12,2,Friday,Afternoon,3,Clear
391,2016-02-12,2,Friday,Evening,1,Clear
391,2016-02-14,2,Sunday,Afternoon,1,Not Applicable
391,2016-02-14,2,Sunday,Morning,1,Clear
391,2016-02-15,2,Monday,Afternoon,1,Snow
391,2016-02-15,2,Monday,Evening,1,Sleet
391,2016-02-15,2,Monday,Morning,1,Blowing Snow
391,2016-02-16,2,Tuesday,Afternoon,1,Raining
391,2016-02-16,2,Tuesday,Night,2,Wintry Mix
391,2016-02-17,2,Wednesday,Evening,1,Clear
391,2016-02-17,2,Wednesday,Morning,1,Cloudy
391,2016-02-18,2,Thursday,Morning,3,Clear
391,2016-02-19,2,Friday,Afternoon,1,Clear
391,2016-02-19,2,Friday,Morning,1,Not Applicable
391,2016-02-19,2,Friday,Night,1,Not Applicable
391,2016-02-20,2,Saturday,Evening,1,Clear
391,2016-02-20,2,Saturday,Night,2,Clear
391,2016-02-21,2,Sunday,Evening,1,Cloudy
391,2016-02-21,2,Sunday,Night,1,Not Applicable
391,2016-02-22,2,Monday,Evening,1,Clear
391,2016-02-22,2,Monday,Morning,1,Clear
391,2016-02-22,2,Monday,Night,1,Clear
391,2016-02-23,2,Tuesday,Afternoon,1,Raining
391,2016-02-23,2,Tuesday,Evening,2,Clear
391,2016-02-24,2,Wednesday,Afternoon,1,Raining
391,2016-02-24,2,Wednesday,Evening,1,Cloudy
391,2016-02-25,2,Thursday,Afternoon,1,Clear
391,2016-02-25,2,Thursday,Morning,2,Cloudy
391,2016-02-26,2,Friday,Afternoon,1,Clear
391,2016-02-26,2,Friday,Evening,1,Clear
391,2016-02-27,2,Saturday,Afternoon,1,Clear
391,2016-02-27,2,Saturday,Night,1,Clear
391,2016-02-28,2,Sunday,Night,1,Clear
391,2016-02-29,2,Monday,Afternoon,1,Clear
